3,Quarter To Three,,,,,,,,,,
3,0,,,,,,,,,,
3, N , N , N , N ,,,,,,,
3, N , N , N , N ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
3, 6_maj , 6_maj , 8_7 , 8_7 ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 6_maj , 6_maj , 1_maj , 1_maj ,,,,,,,
3, 6_maj , 6_maj , 8_7 , 8_7 ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3, 1_maj , 1_maj , 0:min , 0:min ,,,,,,,
3, 6_maj , 6_maj , 8_maj , 8_maj ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Everybody Loves Somebody,,,,,,,,,,
3, 8_7 , 8_7 ,,,,,,,,,
3, N . . . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_7 . . . ,,,,,,,
3, 1_maj . 5_min 4_min , 3_min . . . , 3_min/11 . . 2_maj/b5 , 1_maj . 3_min/11 2_maj/b5 ,,,,,,,
3, 1_maj . 1_aug . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_7 . . . ,,,,,,,
3, 1_maj . 5_min 4_min , 3_min . . . , 3_min/11 . 2_maj/b5 . , 1_maj . . . ,,,,,,,
3, 1_7 . . . , 1_7 . . . , 6_maj . 1_aug . , 6_maj . 5_7(#9) . ,,,,,,,
3, 0:min . 0:minmaj7 0:min7 , 3_maj . . . , 3_min/11 . 5_min/b3 . , 8_9 . 8_7 . ,,,,,,,
3, 1_maj . 1_aug . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_maj . . . ,,,,,,,
3, 1_maj . 5_min 4_min , 3_min . . . , 3_min/11 . 2_maj/b5 . , 1_maj . . . ,,,,,,,
3, 1_maj . . . , 1_maj . . . , 6_maj . 1_aug . , 6_maj . 5_7(#9) . ,,,,,,,
3, 0:min . 0:minmaj7 0:min7 , 3_maj . . . , 3_min/11 . 5_min/b3 . , 8_9 . 8_7 . ,,,,,,,
3, 1_maj . 1_aug . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_maj . . . ,,,,,,,
3, 1_maj . 5_min 4_min , 3_min ," 8_7(b9,b13) ",,,,,,,,
3, 1_maj . 1_aug . , 1_maj . . . ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Almost by Being In Love,,,,,,,,,,
3, 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj ,,,,,,,
3, 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 . 9_maj7 8_min7 ,,,,,,,
3, 6_min7 8_min7 , 9_maj7 . 9_maj 11_maj , 1_min11 , 1_min11 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 . 9_maj7 8_min7 ,,,,,,,
3, 6_min7 8_min7 , 9_maj7 11_maj , 1_min11 , 1_min11 ,,,,,,,
3, 3_hdim7 , 8_sus4(b7) 8_7 , 1_maj9 , 1_sus4 1_maj ,,,,,,,
3, 1_min7 , 9_9 , 3_hdim7 , 8_7 . 9_maj 11_maj ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 . 9_maj7 8_min7 ,,,,,,,
3, 6_min7 8_min7 , 9_maj7 . 9_maj 11_maj ,,,,,,,,,
3, 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj ,,,,,,,
3, 1_min9 , 1_min9 , 1_min9 , 1_min9 . 9_maj7 8_min7 ,,,,,,,
3, 6_min7 , (6/4) 11_maj , 1_min11 , 1_min11 ,,,,,,,
3, 3_hdim7 , 8_sus4(b7) 8_7 , 1_maj9 , 1_maj ,,,,,,,
3, 1_min7 , 9_9 , 3_hdim7 , 8_7 . 6_min7 11_maj ,,,,,,,
3, 1_min9 , 1_min9 , 1_min9 , 1_min9 . 9_maj 8_min ,,,,,,,
3, 6_min7 8_min7 , 9_maj7 . 9_maj 11_maj , 1_min11 , 1_min11 ,,,,,,,
3, 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj , x4,,,,,,
3,0,,,,,,,,,,
3, 12_maj , 12_maj , 12_7 , 5_maj ,,,,,,,
3, 2_min7 7_7 , 2_min7 7_7 , 11_dim 12_maj , 8_7 ,,,,,,,
3, 1_maj , 1_maj , 8_7 , 8_7 ,,,,,,,
3, 8_7 , 8_7 , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 1_7 , 6_maj ,,,,,,,
3, 8_7 , 8_7 , 12_dim 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3, 12_maj , 12_maj , 12_7 , 5_maj ,,,,,,,
3, 2_min7 7_7 , 2_min7 7_7 , 11_dim 12_maj , 8_7 ,,,,,,,
3, 1_maj , 1_maj , 8_7 , 8_7 ,,,,,,,
3, 8_7 , 8_7 , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 1_7 , 6_maj ,,,,,,,
3, 8_7 , 8_7 , 12_dim 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Baby Come Back,,,,,,,,,,
3, 8_1 , 5_1 ,,,,,,,,,
3, 6_maj/9 , 5_min7 ,,,,,,,,,
3, 6_maj/9 , 5_min7 ,,,,,,,,,
3, 6_maj/9 , 5_min7 0:min , &pause ,,,,,,,,
3, 6_maj/9 , 5_min7 , x3,,,,,,,,
3, 6_maj/9 , 0:sus4(b7) 0:7 ,,,,,,,,,
3, 6_maj7 , 5_min7 0:min ,,,,,,,,,
3, 3_min7 5_min7 , 0:min ,,,,,,,,,
3, 6_maj7 , 5_min7 0:min ,,,,,,,,,
3, 3_min7 5_min7 , 0:min 11_maj7 ,,,,,,,,,
3, 6_maj/9 , 5_min7 ,,,,,,,,,
3, 6_maj/9 , 5_min7 , x3,,,,,,,,
3, 6_maj/9 , 0:sus4(b7) 0:7 ,,,,,,,,,
3, 6_maj7 , 5_min7 0:min ,,,,,,,,,
3, 3_min7 5_min7 , 0:min ,,,,,,,,,
3, 6_maj7 , 5_min7 0:min ,,,,,,,,,
3, 3_min7 5_min7 , 0:min 11_maj7 ,,,,,,,,,
3, 8_sus4(b7) 8_7 ,,,,,,,,,,
3, 4_maj7 , 11_maj7 , x2,,,,,,,,
3, 4_maj7 , 3_min7 8_min ,,,,,,,,,
3, 8_sus4(b7) , 8_sus4(b7) . , &pause ,,,,,,,,
3, 6_maj7 , 5_min7 0:min ,,,,,,,,,
3, 3_min7 5_min7 , 0:min ,,,,,,,,,
3, 6_maj7 , 5_min7 0:min ,,,,,,,,,
3, 3_min7 5_min7 , 0:min ,,,,,,,,,
3, 3_min7 5_min7 , 0:min ,,,,,,,,,
3, 6_maj7 , 5_min7 0:min ,,,,,,,,,
3, 3_min7 5_min7 , 0:min ,,,,,,,,,
3, 6_maj7 , 5_min7 0:min ,", fadeout",,,,,,,,
3, 3_min7 5_min7 , 0:min ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Beat It,,,,,,,,,,
3, 5_1 , 5_1 , 2_1 , 2_1 ,,,,,,,
3, 5_1 , 5_1 ,,,,,,,,,
3, 12_1 , 12_1 , N , N ,,,,,,,
3, N , N , N , N ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3, 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Bongo Stomp,,,,,,,,,,
3, 1_maj . 0:min . , 6_maj . 8_maj . , 1_maj . 0:min . , 6_maj . 8_maj . ,,,,,,,
3, 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
3, 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
3, 6_maj . . . , 6_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
3, 8_maj . 6_maj . , 1_maj . . . , 8_maj . 6_maj . , 1_maj . . . ,,,,,,,
3, 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
3, 6_maj . . . , 6_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
3, 8_maj . 6_maj . , 1_maj . . . , 8_maj . 6_maj . , 1_maj . . . ,,,,,,,
3, 6_maj . . . , 6_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
3, 6_maj . . . , 6_maj . . . , 8_maj . 7_maj . , 8_maj . . . ,,,,,,,
3, 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
3, 6_maj . . . , 6_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
3, 8_maj . 6_maj . , 1_maj . . . , 8_maj . 6_maj . , 1_maj . . . ,,,,,,,
3, 6_maj . . . , 8_maj . . . ,,,,,,,,,
3, 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Dance Away,,,,,,,,,,
3, N , N , N , N ,,,,,,,
3, 8_maj , 8_maj/b7 , 5_min , 3_maj ,,,,,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 8_maj , 8_maj ,,,,,,,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 11_maj , 3_maj , 11_maj ,,,,,,,
3, 4_maj , 4_sus4/b7 , 4_sus4/b7 , 4_sus4/b7 ,,,,,,,
3, N , N , N , N ,,,,,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj , 3_maj , 12_min , 8_maj ,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Dance Away,,,,,,,,,,
3, N , N , N , N ,,,,,,,
3, 8_maj , 8_maj/b7 , 5_min , 3_maj ,,,,,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 8_maj , 8_maj ,,,,,,,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 11_maj , 3_maj , 11_maj ,,,,,,,
3, 4_maj , 4_sus4/b7 , 4_sus4/b7 , 4_sus4/b7 ,,,,,,,
3, N , N , N , N ,,,,,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
3, 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
3, 3_maj , 12_min , 8_maj , 0:maj , 3_maj , 12_min , 8_maj ,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Don't stand so close to me,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
3, 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj 7_maj ,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Don't stand so close to me,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
3, 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
3, 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj 7_maj ,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Feel Like Making Love,,,,,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
3, 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
3, 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
3, 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
3, 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
3, 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
3, 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
3, 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
3, 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Feel Like Making Love,,,,,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
3, 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
3, 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
3, 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
3, 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
