3,Quarter To Three,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj , 1_maj ,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , (6/4) 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,", fadeout",,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,The Humpty Dance , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj , 1_maj ,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , (6/4) 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj ,,,,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj ,", fadeout",,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,The Millionaire,,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 0:min 5_min , 3_min 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 0:min 5_min , 3_min 8_maj , (6/4) 8_maj ,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj , 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj 1_maj , 6_maj 6_maj/7 3_min 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 0:min 5_min , 3_min 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 0:min 5_min , 3_min 8_maj , (2/4) 8_maj ,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj , 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj 1_maj , 6_maj 6_maj/7 3_min 8_maj ,,,,,,,,,
3, 1_maj 1_maj/b7 , 6_maj 8_maj ,,,,,,,,,
3, 1_maj 1_7 , 5_maj 0:min ,,,,,,,,,
3, 3_min , 6_maj 6_min ,,,,,,,,,
3, 1_maj 1_maj/7 0:min . ,,,,,,,,,,
3, 6_maj 7_dim , 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj , 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 0:min 5_min ,,,,,,,,,
3, 6_maj 1_maj , 6_maj 6_maj/7 3_min 8_maj ,,,,,,,,,
3, 1_maj 6_maj , 1_maj 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3, 1_maj 8_maj , 1_maj 8_maj ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,The Right Time, 6_7 , 1_7 1_7/3 6_7 7_dim7 , 1_7/5 8_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Think, 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 8_7/5 . . ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
3, 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 8_7/5 . . ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
3, 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 8_7/5 . . ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
3, 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 8_7/5 . . ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 8_7/5 . . ,,,,,,,
3, 8_7 , 6_7 , 1_7 , 1_7 8_7/5 . . ,,,,,,,
3, 1_7 ,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,War, N ,,,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min , 1_min , 1_min , 1_min ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj , 1_1 . 6_1 4_maj ,,,,,,,
3, 1_min 4_maj , 1_1 . 6_1 4_maj , 1_min 4_maj ,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Where Are You, 4_dim ," 3_min7 8_sus4(b7,9) ", 1_maj7 ,,,,,,,
3, 3_7 , 5_min7 0:min7 , 3_min7 2_maj7 , 1_maj7 . 3_min7 2_maj7 ,,,,,,,
3, 1_maj7 , 4_dim ," 3_min7 8_sus4(b7,9) ", 1_maj7 ,,,,,,,
3, 3_7 , 5_min7 0:min7 , 3_min7 2_maj7 , 1_maj7 . 8_min7 1_7 ,,,,,,,
3,0,,,,,,,,,,
3,Where Are You, 4_dim ," 3_min7 8_sus4(b7,9) ", 1_maj7 ,,,,,,,
3, 3_7 , 5_min7 0:min7 , 3_min7 2_maj7 , 1_maj7 . 3_min7 2_maj7 ,,,,,,,
3, 1_maj7 , 4_dim ," 3_min7 8_sus4(b7,9) ", 1_maj7 ,,,,,,,
3, 3_7 , 5_min7 0:min7 , 3_min7 2_maj7 , 1_maj7 . 8_min7 1_7 ,,,,,,,
3, 5_min9 , 7_min7 , 8_maj7 , 7_min7 ,,,,,,,
3, 5_min9 , 7_min7 , 1_maj9 , 0:min9 , 0:min9 ,,,,,,
3, 1_min9 , 8_min7 , C9_maj9 , 8_min7 ,,,,,,,
3, 6_min9 ," 8_sus4(b7,9) . 8_maj ", 1_min9 , 1_min9/b7 ,,,,,,,
3, C9_maj9 ," 8_sus4(b7,9) ", 8_maj ,,,,,,,,
3, 1_sus4 , 1_sus4 , 1_maj , 1_maj , 1_maj ,,,,,,
3, 1_maj , 1_maj , 1_maj ,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Woman To Woman, 0:min , 1_maj7 , 0:min ,,,,,,,
3, 1_maj7 , 0:min , 1_maj7 , 0:min ,,,,,,,
3, 1_maj7 , 0:min , 1_maj7 , 0:min ,,,,,,,
3, 1_maj7 , 0:min , 1_maj7 , 0:min ,,,,,,,
3, 1_maj7 , 0:min , 1_maj7 , 0:min ,,,,,,,
3, 1_maj7 , 0:min ," 8_sus4(b7,9) "," 8_sus4(b7,9) ",,,,,,,
3, 1_maj7 , 6_maj7 , 1_maj7 , 0:min 8_min 6_maj . ,,,,,,,
3, 1_maj7 , 6_maj7 , 1_maj7 ," 8_sus4(b7,9) "," 8_sus4(b7,9) ",,,,,,
3, 1_maj7 , 6_maj7 , 1_maj7 , 6_maj7 ,,,,,,,
3, 1_maj7 , 6_maj7 , 1_maj7 ," 8_sus4(b7,9) "," 8_sus4(b7,9) ",,,,,,
3, 1_maj7 , 6_maj7 , 1_maj7 , 0:min 8_min 6_maj . ,,,,,,,
3, 1_maj7 , 6_maj7 , 1_maj7 ," 8_sus4(b7,9) "," 8_sus4(b7,9) ",,,,,,
3, 1_maj7 , 6_maj7 , 1_maj7 , 0:min 8_min 6_maj . ,,,,,,,
3, 1_maj7 , 6_maj7 , 1_maj7 , 0:min 8_min 6_maj . ,,,,,,,
3, 1_maj7 , 6_maj7 ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,World In My Eyes, 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 6_min7 , 6_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 6_min7 , 6_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
3, 0:min , C9_maj , 6_min , 8_maj ,,,,,,,
3, 1_min , 6_min , 8_maj , ->,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 6_7 , 6_7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
3, 0:min , C9_maj , 6_min , 8_maj ,,,,,,,
3, 1_min , 6_min , 8_maj , ->,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,World In My Eyes, 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 6_min7 , 6_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 6_min7 , 6_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
3, 0:min , C9_maj , 6_min , 8_maj ,,,,,,,
3, 1_min , 6_min , 8_maj , ->,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7 , 1_min7 ,,,,,,,
3, 1_min7 , 1_min7 , 6_7 , 6_7 ,,,,,,,
3, 1_min7 , 1_min7 , 1_min7(b13) , 1_min7(b13) ,,,,,,,
3, 0:min , C9_maj , 6_min , 8_maj ,,,,,,,
3, 1_min , 6_min , 8_maj , ->,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3, 1_min7 , 1_min7 , 6_maj , 6_min ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Young Hearts Run Free,,,,,,,,,,
3, 8_sus4(9)/7 , 8_sus4(9)/7 , 8_sus4(9)/7 , 8_sus4(9)/7 ,,,,,,,
3, 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
3, 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
3, 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
3, 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
3, 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
3, 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
3, 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
3, 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
3, 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
3, 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
3, 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Young Hearts Run Free,,,,,,,,,,
3, 8_sus4(9)/7 , 8_sus4(9)/7 , 8_sus4(9)/7 , 8_sus4(9)/7 ,,,,,,,
3, 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
3, 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
3, 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
3, 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
3, 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
3, 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
3, 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
3, 1_maj 6_maj/5 , 1_maj7 6_maj/5 , 1_maj 6_maj/5 , 1_maj7 6_maj/5 ,,,,,,,
3, 6_maj 6_maj6 , 6_maj7 6_maj6 , 1_maj/5 0:min7 , 1_maj/5 0:min7 ,,,,,,,
3, 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
3, 8_sus4(9) , 8_sus4(9) , 8_sus4(9) , 8_sus4(9) ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj/5 0:min7 . . ,,,,,,,
3, 6_maj 3_min7 , 6_maj 3_min7 , 6_maj 3_min7 , 6_maj ,,,,,,,
3, 6_maj7 1_maj , 1_maj/5 0:min7 . . , 6_maj7 1_maj , 1_maj ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,